Category,Title,URL,Description
"Environmental, Social, and Governance (ESG) Investing","Tower Research Capital LLC TRC Buys 7,189 Shares of Genpact Limited (NYSE:G)",https://www.etfdailynews.com/2024/03/07/tower-research-capital-llc-trc-buys-7189-shares-of-genpact-limited-nyseg/,"Tower Research Capital LLC TRC raised its stake in Genpact Limited (NYSE:G – Free Report) by 63.9% in the 3rd quarter, according to its most recent disclosure with the SEC. The fund owned 18,439 shares of the business services provider’s stock after purchasin…"
"Environmental, Social, and Governance (ESG) Investing",Alliance Trust : Full Results Announcement 2023,https://www.marketscreener.com/quote/stock/ALLIANCE-TRUST-PLC-4005965/news/Alliance-Trust-Full-Results-Announcement-2023-46110076/,"(marketscreener.com) 
 
 Alliance Trust PLC 
 
 
 LEI: 213800SZZD4E2IOZ9W55
 
 
 7 March 2024
 
 
 Strong Outperformance in Volatile Market
 
 
 Annual results for the year ended 31 December 2023
 
 
 Performance Highlights
 
 
 
 The Company's...https://www.…"
"Environmental, Social, and Governance (ESG) Investing",Alliance Trust PLC - Final Results,https://www.marketscreener.com/quote/stock/ALLIANCE-TRUST-PLC-4005965/news/Alliance-Trust-PLC-Final-Results-46109042/,"(marketscreener.com) Alliance Trust PLC LEI: 213800SZZD4E2IOZ9W55 7 March 2024 Strong Outperformance in Volatile Market Annual results for the year ended 31 December 2023 Performance Highlights The Company’s share price was 1,112.0 pence as at 31 December 202…"
"Environmental, Social, and Governance (ESG) Investing",Alliance Trust PLC - Final Results,https://www.globenewswire.com/news-release/2024/03/07/2841939/0/en/Alliance-Trust-PLC-Final-Results.html,Alliance Trust PLC (‘the Company’)LEI: 213800SZZD4E2IOZ9W55  7 March 2024  Strong Outperformance in Volatile Market  Annual results for the year ended...
"Environmental, Social, and Governance (ESG) Investing",Teleperformance: 2023 Annual Results: Profitable Growth and Strong Cash Flow,https://www.marketscreener.com/quote/stock/TELEPERFORMANCE-SE-4709/news/Teleperformance-2023-Annual-Results-Profitable-Growth-and-Strong-Cash-Flow-46105605/,"(marketscreener.com) 

Record results: fastest like-for-like growth )in the industry, EBITA margin up +40 bps* and free cash flow up > +15%



2024 outlook: further growth and increase in margins on a pro forma basis



Majorel integration well on track: a ta…"
"Environmental, Social, and Governance (ESG) Investing",Global Corporate Governance Trends for 2024,https://corpgov.law.harvard.edu/2024/03/06/global-corporate-governance-trends-for-2024/,"Corporate governance is dynamic.  Boards and the businesses they oversee face new challenges and opportunities—and new demands from their stakeholders—each year.  To help you and your companies stay ahead of the curve in 2024 and beyond, RRA annually brings t…"
Climate Change and Market Impacts,"Vietnam 2024 rice exports seen falling, India prices strike record high",https://www.bangkokpost.com/business/general/2755221/vietnam-2024-rice-exports-seen-falling-india-prices-strike-record-high,"Vietnam's rice exports are estimated at 6.5-7.0 million metric tonnes this year, down from last year's record high of 8.1 million tonnes, according to a report by the Vietnam Food Association."
Climate Change and Market Impacts,Vivendi: Strong Growth in Results in 2023,https://www.marketscreener.com/quote/stock/VIVENDI-SE-4727/news/Vivendi-Strong-Growth-in-Results-in-2023-46122492/,"(marketscreener.com) 

Revenues of €10.510 billion, up 9.5% due to the growth of Canal+ Group and Havas as well as the integration of Lagardère as of December 1, 2023



EBITA of €934 million, up 7.5% and 11.7% at constant currency and perimeter, due in parti…"
Climate Change and Market Impacts,BlackRock World Mining Trust Plc - Final Results,https://www.marketscreener.com/quote/stock/BLACKROCK-WORLD-MINING-TR-9590243/news/BlackRock-World-Mining-Trust-Plc-Final-Results-46121861/,"(marketscreener.com) 

BlackRock World Mining Trust plcLEI: LNFFPBEUZJBOSR6PW155 Annual Report and Financial Statements 31 December 2023Performance record As at 31 December 2023 As at 31 December 2022  Net assets...https://www.marketscreener.com/quote/stock/B…"
Climate Change and Market Impacts,Capita Plc - Full Year Results 2023,https://www.marketscreener.com/quote/stock/CAPITA-PLC-120791931/news/Capita-Plc-Full-Year-Results-2023-46100721/,"(marketscreener.com) 

Capita plcFull Year Results 2023Stable revenue underpinned by strong contract wins, further accelerated efficiency measures to drive growth and improve cash flowCapita plc CEO Adolfo Hernandez said:""Since joining Capita I have spent tim…"
Climate Change and Market Impacts,"Textile Recycling Market projected to reach USD 11.3 Billion by 2030, growing at a CAGR of 6.5% during the forecast period of 2023-2030 - pronounced by MarketDigits in its recent study",https://www.globenewswire.com/news-release/2024/03/05/2840643/0/en/Textile-Recycling-Market-projected-to-reach-USD-11-3-Billion-by-2030-growing-at-a-CAGR-of-6-5-during-the-forecast-period-of-2023-2030-pronounced-by-MarketDigits-in-its-recent-study.html,"The Global Textile Recycling Market was valued USD 7.1 Billion in 2023 and projected to reach USD 11.3 Billion by 2030, growing at a CAGR of 6.5% during the forecast period of 2023-2030 The Global Textile Recycling Market was valued USD 7.1 Billion in 2023 an…"
Climate Change and Market Impacts,"Down on the farm, the beef industry inches toward sustainability",https://www.greenbiz.com/article/down-farm-beef-industry-inches-toward-sustainability,Farmers and ranchers are on the front lines of a sprawling supply chain that ends up as burgers and steaks. Progress toward reducing the industry’s impacts has been plodding.
Climate Change and Market Impacts,EFFECTIVE MEASURES TO TACKLE AIR POLLUTION,https://statetimes.in/effective-measures-to-tackle-air-pollution/,"The statistics provided from the Lancet Commission report highlight the severity of air pollution in India, with a significant number of premature deaths attributed to it. Additionally, the study on children’s lung health underscores the long-term health impa…"
Climate Change and Market Impacts,"Global Confectionery Market Size is Estimated to Reach USD 421.05 billion by 2031, Growing at a CAGR of 3.9%: Straits Research",https://www.globenewswire.com/news-release/2024/03/04/2839721/0/en/Global-Confectionery-Market-Size-is-Estimated-to-Reach-USD-421-05-billion-by-2031-Growing-at-a-CAGR-of-3-9-Straits-Research.html,"In the confectionery industry, product innovation and retail market expansion drive growth. Manufacturers introduce new flavors and packaging strategies to meet changing consumer demands, while retail channels like supermarkets and online stores contribute to…"
Climate Change and Market Impacts,"Low-carbon governance, fiscal decentralization, and enterprise green development: Evidence from China",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0296490,"Simultaneously achieving economic development and environmental protection is a shared global challenge. While the positive effect of environmental regulations on protecting the environment has been widely recognized, the attention paid to low-carbon governan…"
Climate Change and Market Impacts,What the SEC climate disclosure rule may mean for investors,https://www.cnbc.com/2024/03/04/what-the-sec-climate-disclosure-rule-may-mean-for-investors.html,"A new Securities and Exchange Commission rule would raise climate reporting standards for public firms, boosting transparency into climate risks and emissions."
Pharma,The History of Public Health Colonialism ⋆ Brownstone Institute,https://brownstone.org/articles/the-history-of-public-health-colonialism/,"With the world turning full circle, post-World War Two concepts of human rights, equality, and local agency are exiting the international stage."
Pharma,"AstraZeneca bets on licencing deals, public-private partnerships for India growth",https://economictimes.indiatimes.com/industry/healthcare/biotech/pharmaceuticals/astrazeneca-bets-on-licencing-deals-public-private-partnerships-for-india-growth/articleshow/108336262.cms,"British-Swedish drugmaker AstraZeneca is set to launch 15 new products in India from 2023 to 2025, focusing on oncology, cardiovascular, renal, and metabolic diseases, respiratory and immunology, and rare diseases. The company aims to expand access to its the…"
Pharma,Novo Nordisk mejorará su terapia contra la obesidad dentro de seis años,https://www.eleconomista.es/salud/noticias/12713325/03/24/novo-nordisk-mejorara-su-terapia-contra-la-obesidad-dentro-de-seis-anos.html,"Novo Nordisk está construyendo un amplio catálogo de tratamientos contra la obesidad, la 'enfermedad del siglo XXI'. Una de sus últimas innovaciones es la versión en pastilla de amicretina. Actualmente se encuentra en investigación y su vicepresidente ejecuti…"
Pharma,Stick Packaging Market Size Anticipated to Hit USD 547.63 Mn by 2032,https://www.globenewswire.com/news-release/2024/03/08/2843244/0/en/Stick-Packaging-Market-Size-Anticipated-to-Hit-USD-547-63-Mn-by-2032.html,"The global stick packaging market size is anticipated to hit around USD 547.63 million by 2032, increasing from USD 341.14 million in 2023, growing at a CAGR of 5.4% between 2023 and 2032. The global stick packaging market size is anticipated to hit around US…"
Pharma,"Global Paracetamol IV Market to reach USD 1,575.45 million by 2030 - By Indication (Pain, Pyrexia/Fever), Application (Non-surgical, Surgical), End-use - Forecast 2024-2030",https://www.globenewswire.com/news-release/2024/03/08/2843164/28124/en/Global-Paracetamol-IV-Market-to-reach-USD-1-575-45-million-by-2030-By-Indication-Pain-Pyrexia-Fever-Application-Non-surgical-Surgical-End-use-Forecast-2024-2030.html,"Dublin, March 08, 2024 (GLOBE NEWSWIRE) -- The ""Global Paracetamol IV Market by Indication (Pain, Pyrexia/Fever), Application (Non-surgical, Surgical), End-use - Forecast 2024-2030"" report has been added to ResearchAndMarkets.com's offering.The Paracetamol IV…"
Pharma,"Lupin : March 8, 2024 Lupin Appoints Rakesh Bhardwaj as Chief Information Officer",https://www.marketscreener.com/quote/stock/LUPIN-LIMITED-46728636/news/Lupin-March-8-2024-Lupin-Appoints-Rakesh-Bhardwaj-as-Chief-Information-Officer-46129862/,"(marketscreener.com) 
 
 Mumbai, March 07,2024: Global pharma major Lupin Limited today announced the appointment of Rakesh Bhardwaj as Chief Information Officer . He will be based in Mumbai and lead Lupin's global Information Technology function and spearhea…"
Pharma,Top Content Providers With AI Tools Expertise In 2024,https://elearningindustry.com/top-ai-tools-ai-experts-content-providers-list,"Ready to dive into the fascinating world of AI-driven custom eLearning solutions revolutionizing employee training? Discover our latest top list showcasing the crème de la crème of AI experts in eLearning development.
This post was first published on eLearnin…"
Pharma,"A Technocratic War on Farmers, Oil Dependency, and Homemade Apple Pie",https://www.globalresearch.ca/technocratic-war-farmers-oil-dependency-homemade-apple-pie/5851574,"All Global Research articles can be read in 51 languages by activating the Translate Website button below the author’s name (only available in desktop version). To receive Global Research’s Daily Newsletter (selected articles), click here. Click the share but…"
Pharma,India-EFTA set to sign trade deal on March 10,https://indianexpress.com/article/business/india-efta-to-sign-trade-deal-iceland-liechtenstein-norway-switzerland-9203228/,"India is also looking to close an FTA with UK and Oman before the general election dates are announced, as it will curb the government from announcing trade deals due to the Model Code of Conduct (MCC)."
Pharma,"Analiză: Prețurile mondiale la alimente au scăzut și în luna februarie, grație degringoladei cotațiilor la cereale",https://www.wall-street.ro/articol/Finante-Banci/306013/analiza-preturile-mondiale-la-alimente-au-scazut-si-in-luna-februarie-gratie-degringoladei-cotatiilor-la-cereale.html,"Indicele global al preţurilor produselor alimentare a scăzut pentru a şaptea lună consecutivă, în februarie 2024, în principal ca urmare a degringoladei cotaţiilor la cereale, care au contracarat creşterile de preţuri la zahăr şi carne, a anunţat,..."
Automobiles,"Govt directs 4 sectors to provide detailed info on warranty, service centres",https://economictimes.indiatimes.com/news/india/govt-directs-4-sectors-to-provide-detailed-info-on-warranty-service-centres/articleshow/108335070.cms,"The government has directed major industries like automobiles and electronics to provide consumers with detailed information about products, service centers, and warranty conditions to prevent deception during repairs. This initiative aims to address consumer…"
Automobiles,Torrent Gas announces reduction in CNG prices by Rs 2.50 per kg across all locations,https://economictimes.indiatimes.com/industry/energy/oil-gas/torrent-gas-announces-reduction-in-cng-prices-by-rs-2-50-per-kg-across-all-locations/articleshow/108333222.cms,"Torrent Gas reduces CNG prices by Rs 2.50/kg, following Mumbai and Delhi's price cuts. The reduction makes CNG up to 45% cheaper than petrol and up to 37% cheaper than diesel. Mahanagar Gas and Indraprastha Gas had earlier announced similar price cuts. The re…"
Automobiles,Global Urethane Coatings Market Size is Poised to Reach USD 33.74 Billion by 2032 | Asia Pacific is the Epicenter of the Urethane Coatings Boom Says Astute Analytica,https://www.globenewswire.com/news-release/2024/03/08/2842998/0/en/Global-Urethane-Coatings-Market-Size-is-Poised-to-Reach-USD-33-74-Billion-by-2032-Asia-Pacific-is-the-Epicenter-of-the-Urethane-Coatings-Boom-Says-Astute-Analytica.html,"Global urethane coatings market demonstrates robust growth, driven by demand in construction, automotive, and industrial sectors. Urethane offers exceptional durability, versatility, and increasing compliance with environmental regulations. Asia Pacific leads…"
Automobiles,Book review of “Chip War” and the Fragility of microchips,https://energyskeptic.com/2024/book-review-of-chip-war-and-the-fragility-of-microchips/,"Major semiconductor producing countries rely on each other for different types of chips. Top semiconductor producers’ 2021 export values by source and destination, billions USD.  Source: PIIE 2022 https://www.piie.com/research/piie-charts/major-semiconductor-…"
Automobiles,Research on energy-saving control of agricultural hybrid tractors integrating working condition prediction,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0299658,"To address the issues of tractors using too much fuel and not being energy efficient, a predictive control strategy based on Pontryagin’s minimum principle integrating working condition prediction is proposed for agricultural hybrid tractors. The Dongfanghong…"
Automobiles,"Global Smart Fleet Management Market Size is Estimated to Reach USD 201,353 million by 2030, Growing at a CAGR of 16.3%: Straits Research",https://www.globenewswire.com/news-release/2024/03/07/2842170/0/en/Global-Smart-Fleet-Management-Market-Size-is-Estimated-to-Reach-USD-201-353-million-by-2030-Growing-at-a-CAGR-of-16-3-Straits-Research.html,"The Asia-Pacific smart fleet management market leads with a 17.91% projected CAGR, driven by population growth, urbanization, robust infrastructure, and government support in countries like India, China, and Indonesia. Europe follows with a 14.64% CAGR, fuele…"
Automobiles,"Fifth-Wheel Coupling Market Forecasted to Reach USD 870.1 million by 2031, with a 4.3% CAGR: Transparency Market Research, Inc.",https://www.globenewswire.com/news-release/2024/03/07/2842026/32656/en/Fifth-Wheel-Coupling-Market-Forecasted-to-Reach-USD-870-1-million-by-2031-with-a-4-3-CAGR-Transparency-Market-Research-Inc.html,"Automotive driving has become a comfort choice, implying that customers prefer more comforting vehicles. Hence, it forces organizations to use all parts emphasized to meet these requirements. Therefore, this is the primary market driver for the fifth-wheel co…"
Automobiles,Chief Minister Eknath Shinde reinforces Maharashtra's trillion-dollar economic trajectory at the 2024,https://en.antaranews.com/news/307872/chief-minister-eknath-shinde-reinforces-maharashtras-trillion-dollar-economic-trajectory-at-the-2024,"The Chief Minister of Maharashtra, Shri Eknath Shinde, concluded his successful visit to the World Economic Forum 2024 (WEF) in Davos, signing MoUs aimed at ..."
Automobiles,"Australia and Vietnam upgrade relations, to begin talks on critical minerals",https://www.marketscreener.com/quote/index/TOPIX-INDEX-61714390/news/Australia-and-Vietnam-upgrade-relations-to-begin-talks-on-critical-minerals-46107572/,"(marketscreener.com) Australian Prime Minister Anthony Albanese said on Thursday the country was elevating ties with Vietnam to a comprehensive strategic partnership, opening an annual dialogue on critical minerals amid a push to diversify supply chains away …"
Automobiles,Semiconductor Woes Could Dampen Auto Industry's Road to Recovery,https://oilprice.com/Metals/Commodities/Semiconductor-Woes-Could-Dampen-Auto-Industrys-Road-to-Recovery.html,"Via Metal Miner Month-over-month, the Automotive MMI (Monthly Metals Index) dropped by 3.03%. While the automotive market continued to improve overall, bearish pressure on certain steel prices like hot-dipped galvanized steel, ultimately forced the index down…"
